




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
methylglyoxal biosynthetic process (GO:0019242)	1	1	.01	+	 > 100	1.44E-02	1.00E00
tumor necrosis factor superfamily cytokine production (GO:0071706)	1	1	.01	+	 > 100	1.44E-02	1.00E00
olfactory bulb axon guidance (GO:0071678)	1	1	.01	+	 > 100	1.44E-02	1.00E00
glutamate catabolic process via 2-oxoglutarate (GO:0006539)	1	1	.01	+	 > 100	1.44E-02	1.00E00
tumor necrosis factor production (GO:0032640)	1	1	.01	+	 > 100	1.44E-02	1.00E00
cellular response to carbon monoxide (GO:0071245)	1	1	.01	+	 > 100	1.44E-02	1.00E00
suppression by symbiont of host signal transduction pathway (GO:0052029)	1	1	.01	+	 > 100	1.44E-02	1.00E00
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1	1	.01	+	 > 100	1.44E-02	1.00E00
cellular detoxification of cadmium ion (GO:0098849)	1	1	.01	+	 > 100	1.44E-02	1.00E00
manchette disassembly (GO:1905199)	1	1	.01	+	 > 100	1.44E-02	1.00E00
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	1	.01	+	 > 100	1.44E-02	1.00E00
suppression by virus of host STAT2 activity (GO:0039564)	1	1	.01	+	 > 100	1.44E-02	1.00E00
suppression by virus of host STAT1 activity (GO:0039563)	1	1	.01	+	 > 100	1.44E-02	1.00E00
suppression by virus of host STAT activity (GO:0039562)	1	1	.01	+	 > 100	1.44E-02	1.00E00
suppression by virus of host JAK-STAT cascade (GO:0039514)	1	1	.01	+	 > 100	1.44E-02	1.00E00
90S preribosome assembly (GO:0034463)	1	1	.01	+	 > 100	1.44E-02	1.00E00
primary ureteric bud growth (GO:0060682)	1	1	.01	+	 > 100	1.44E-02	1.00E00
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	2	1	.01	+	68.65	2.15E-02	1.00E00
granuloma formation (GO:0002432)	2	1	.01	+	68.65	2.15E-02	1.00E00
convergent extension involved in neural plate elongation (GO:0022007)	2	1	.01	+	68.65	2.15E-02	1.00E00
mitigation of host defenses by virus (GO:0019049)	2	1	.01	+	68.65	2.15E-02	1.00E00
detoxification of cadmium ion (GO:0071585)	2	1	.01	+	68.65	2.15E-02	1.00E00
positive regulation of acetylcholine secretion, neurotransmission (GO:0014057)	2	1	.01	+	68.65	2.15E-02	1.00E00
neural plate elongation (GO:0014022)	2	1	.01	+	68.65	2.15E-02	1.00E00
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	2	1	.01	+	68.65	2.15E-02	1.00E00
regulation of ubiquitin-dependent endocytosis (GO:2000395)	2	1	.01	+	68.65	2.15E-02	1.00E00
negative regulation of ovarian follicle development (GO:2000355)	2	1	.01	+	68.65	2.15E-02	1.00E00
DNA replication proofreading (GO:0045004)	2	1	.01	+	68.65	2.15E-02	1.00E00
modulation of signal transduction in other organism (GO:0044501)	2	1	.01	+	68.65	2.15E-02	1.00E00
negative regulation by symbiont of host molecular function (GO:0052056)	2	1	.01	+	68.65	2.15E-02	1.00E00
modulation by symbiont of host molecular function (GO:0052055)	2	1	.01	+	68.65	2.15E-02	1.00E00
modulation by symbiont of host signal transduction pathway (GO:0052027)	2	1	.01	+	68.65	2.15E-02	1.00E00
cell migration involved in mesendoderm migration (GO:0090134)	2	1	.01	+	68.65	2.15E-02	1.00E00
mesendoderm migration (GO:0090133)	2	1	.01	+	68.65	2.15E-02	1.00E00
larynx development (GO:0120224)	2	1	.01	+	68.65	2.15E-02	1.00E00
larynx morphogenesis (GO:0120223)	2	1	.01	+	68.65	2.15E-02	1.00E00
stress response to cadmium ion (GO:1990170)	2	1	.01	+	68.65	2.15E-02	1.00E00
positive regulation of engulfment of apoptotic cell (GO:1901076)	2	1	.01	+	68.65	2.15E-02	1.00E00
peptidyl-cysteine S-trans-nitrosylation (GO:0035606)	2	1	.01	+	68.65	2.15E-02	1.00E00
mitigation of host immune response by virus (GO:0030683)	2	1	.01	+	68.65	2.15E-02	1.00E00
negative regulation of cardiac muscle tissue development (GO:0055026)	2	1	.01	+	68.65	2.15E-02	1.00E00
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	2	1	.01	+	68.65	2.15E-02	1.00E00
heme transmembrane transport (GO:0035351)	2	1	.01	+	68.65	2.15E-02	1.00E00
lymphoid lineage cell migration into thymus (GO:0097535)	2	1	.01	+	68.65	2.15E-02	1.00E00
lymphoid lineage cell migration (GO:0097534)	2	1	.01	+	68.65	2.15E-02	1.00E00
negative regulation of centriole elongation (GO:1903723)	2	1	.01	+	68.65	2.15E-02	1.00E00
suppression by virus of host molecular function (GO:0039507)	2	1	.01	+	68.65	2.15E-02	1.00E00
modulation by virus of host molecular function (GO:0039506)	2	1	.01	+	68.65	2.15E-02	1.00E00
positive regulation of convergent extension involved in gastrulation (GO:1904105)	2	1	.01	+	68.65	2.15E-02	1.00E00
regulation of convergent extension involved in gastrulation (GO:1904103)	2	1	.01	+	68.65	2.15E-02	1.00E00
negative regulation of membrane tubulation (GO:1903526)	2	1	.01	+	68.65	2.15E-02	1.00E00
cell-cell signaling involved in mammary gland development (GO:0060764)	2	1	.01	+	68.65	2.15E-02	1.00E00
U6 snRNA 3'-end processing (GO:0034477)	2	1	.01	+	68.65	2.15E-02	1.00E00
protein localization to early endosome (GO:1902946)	2	1	.01	+	68.65	2.15E-02	1.00E00
positive regulation of satellite cell activation involved in skeletal muscle regeneration (GO:0014718)	2	1	.01	+	68.65	2.15E-02	1.00E00
regulation of satellite cell activation involved in skeletal muscle regeneration (GO:0014717)	2	1	.01	+	68.65	2.15E-02	1.00E00
leukotriene signaling pathway (GO:0061737)	5	2	.04	+	54.92	1.06E-03	1.00E00
cochlear nucleus development (GO:0021747)	3	1	.02	+	45.77	2.86E-02	1.00E00
lung goblet cell differentiation (GO:0060480)	3	1	.02	+	45.77	2.86E-02	1.00E00
glossopharyngeal nerve morphogenesis (GO:0021615)	3	1	.02	+	45.77	2.86E-02	1.00E00
dorsal/ventral axon guidance (GO:0033563)	3	1	.02	+	45.77	2.86E-02	1.00E00
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	3	1	.02	+	45.77	2.86E-02	1.00E00
neural plate morphogenesis (GO:0001839)	6	2	.04	+	45.77	1.41E-03	1.00E00
corticotropin hormone secreting cell differentiation (GO:0060128)	3	1	.02	+	45.77	2.86E-02	1.00E00
glucosylceramide catabolic process (GO:0006680)	3	1	.02	+	45.77	2.86E-02	1.00E00
plasmacytoid dendritic cell activation (GO:0002270)	3	1	.02	+	45.77	2.86E-02	1.00E00
regulation of acetylcholine secretion, neurotransmission (GO:0014056)	3	1	.02	+	45.77	2.86E-02	1.00E00
histidyl-tRNA aminoacylation (GO:0006427)	3	1	.02	+	45.77	2.86E-02	1.00E00
preantral ovarian follicle growth (GO:0001546)	3	1	.02	+	45.77	2.86E-02	1.00E00
transposition, DNA-mediated (GO:0006313)	3	1	.02	+	45.77	2.86E-02	1.00E00
ferredoxin metabolic process (GO:0006124)	3	1	.02	+	45.77	2.86E-02	1.00E00
myoblast development (GO:0048627)	3	1	.02	+	45.77	2.86E-02	1.00E00
positive regulation of oligodendrocyte progenitor proliferation (GO:0070447)	3	1	.02	+	45.77	2.86E-02	1.00E00
regulation of engulfment of apoptotic cell (GO:1901074)	3	1	.02	+	45.77	2.86E-02	1.00E00
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	3	1	.02	+	45.77	2.86E-02	1.00E00
psychomotor behavior (GO:0036343)	3	1	.02	+	45.77	2.86E-02	1.00E00
ubiquitin-dependent endocytosis (GO:0070086)	3	1	.02	+	45.77	2.86E-02	1.00E00
multi-layer follicle stage (GO:0048162)	3	1	.02	+	45.77	2.86E-02	1.00E00
cellular response to water deprivation (GO:0042631)	3	1	.02	+	45.77	2.86E-02	1.00E00
positive regulation of P-type sodium:potassium-exchanging transporter activity (GO:1903408)	3	1	.02	+	45.77	2.86E-02	1.00E00
regulation of P-type sodium:potassium-exchanging transporter activity (GO:1903406)	3	1	.02	+	45.77	2.86E-02	1.00E00
negative regulation of non-motile cilium assembly (GO:1902856)	3	1	.02	+	45.77	2.86E-02	1.00E00
striatal medium spiny neuron differentiation (GO:0021773)	4	1	.03	+	34.33	3.56E-02	1.00E00
lobar bronchus epithelium development (GO:0060481)	4	1	.03	+	34.33	3.56E-02	1.00E00
third ventricle development (GO:0021678)	4	1	.03	+	34.33	3.56E-02	1.00E00
podosome assembly (GO:0071800)	4	1	.03	+	34.33	3.56E-02	1.00E00
glossopharyngeal nerve development (GO:0021563)	4	1	.03	+	34.33	3.56E-02	1.00E00
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	4	1	.03	+	34.33	3.56E-02	1.00E00
Mullerian duct regression (GO:0001880)	4	1	.03	+	34.33	3.56E-02	1.00E00
thyroid-stimulating hormone-secreting cell differentiation (GO:0060129)	4	1	.03	+	34.33	3.56E-02	1.00E00
traversing start control point of mitotic cell cycle (GO:0007089)	4	1	.03	+	34.33	3.56E-02	1.00E00
GMP biosynthetic process (GO:0006177)	4	1	.03	+	34.33	3.56E-02	1.00E00
positive regulation of sodium:proton antiporter activity (GO:0032417)	4	1	.03	+	34.33	3.56E-02	1.00E00
canonical Wnt signaling pathway involved in regulation of cell proliferation (GO:0044340)	4	1	.03	+	34.33	3.56E-02	1.00E00
positive regulation of synaptic transmission, cholinergic (GO:0032224)	4	1	.03	+	34.33	3.56E-02	1.00E00
positive regulation of G0 to G1 transition (GO:0070318)	4	1	.03	+	34.33	3.56E-02	1.00E00
telomerase holoenzyme complex assembly (GO:1905323)	4	1	.03	+	34.33	3.56E-02	1.00E00
L-alanine catabolic process (GO:0042853)	4	1	.03	+	34.33	3.56E-02	1.00E00
L-alanine metabolic process (GO:0042851)	4	1	.03	+	34.33	3.56E-02	1.00E00
mitigation of host defenses by symbiont (GO:0030682)	4	1	.03	+	34.33	3.56E-02	1.00E00
regulation of cardiac muscle tissue development (GO:0055024)	4	1	.03	+	34.33	3.56E-02	1.00E00
synaptic vesicle targeting (GO:0016080)	4	1	.03	+	34.33	3.56E-02	1.00E00
response to carbon monoxide (GO:0034465)	4	1	.03	+	34.33	3.56E-02	1.00E00
positive regulation of phospholipid efflux (GO:1902995)	4	1	.03	+	34.33	3.56E-02	1.00E00
regulation of phospholipid efflux (GO:1902994)	4	1	.03	+	34.33	3.56E-02	1.00E00
intestinal epithelial cell maturation (GO:0060574)	4	1	.03	+	34.33	3.56E-02	1.00E00
trachea cartilage morphogenesis (GO:0060535)	4	1	.03	+	34.33	3.56E-02	1.00E00
neural plate development (GO:0001840)	9	2	.07	+	30.51	2.74E-03	1.00E00
amyloid-beta formation (GO:0034205)	10	2	.07	+	27.46	3.27E-03	1.00E00
lobar bronchus development (GO:0060482)	5	1	.04	+	27.46	4.26E-02	1.00E00
somatic diversification of T cell receptor genes (GO:0002568)	5	1	.04	+	27.46	4.26E-02	1.00E00
dolichol metabolic process (GO:0019348)	5	1	.04	+	27.46	4.26E-02	1.00E00
protein localization to adherens junction (GO:0071896)	5	1	.04	+	27.46	4.26E-02	1.00E00
negative regulation of regulatory T cell differentiation (GO:0045590)	5	1	.04	+	27.46	4.26E-02	1.00E00
corpus callosum morphogenesis (GO:0021540)	5	1	.04	+	27.46	4.26E-02	1.00E00
glucosylceramide metabolic process (GO:0006678)	5	1	.04	+	27.46	4.26E-02	1.00E00
positive regulation of meiotic cell cycle phase transition (GO:1901995)	5	1	.04	+	27.46	4.26E-02	1.00E00
convergent extension involved in organogenesis (GO:0060029)	5	1	.04	+	27.46	4.26E-02	1.00E00
alanine catabolic process (GO:0006524)	5	1	.04	+	27.46	4.26E-02	1.00E00
alanine metabolic process (GO:0006522)	5	1	.04	+	27.46	4.26E-02	1.00E00
apolipoprotein A-I-mediated signaling pathway (GO:0038027)	5	1	.04	+	27.46	4.26E-02	1.00E00
T cell receptor V(D)J recombination (GO:0033153)	5	1	.04	+	27.46	4.26E-02	1.00E00
positive regulation of clathrin-dependent endocytosis (GO:2000370)	5	1	.04	+	27.46	4.26E-02	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	15	3	.11	+	27.46	2.79E-04	1.00E00
citrate metabolic process (GO:0006101)	5	1	.04	+	27.46	4.26E-02	1.00E00
keratinocyte migration (GO:0051546)	5	1	.04	+	27.46	4.26E-02	1.00E00
astrocyte cell migration (GO:0043615)	5	1	.04	+	27.46	4.26E-02	1.00E00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	5	1	.04	+	27.46	4.26E-02	1.00E00
natural killer cell degranulation (GO:0043320)	5	1	.04	+	27.46	4.26E-02	1.00E00
pyruvate family amino acid catabolic process (GO:0009080)	5	1	.04	+	27.46	4.26E-02	1.00E00
pyruvate family amino acid metabolic process (GO:0009078)	5	1	.04	+	27.46	4.26E-02	1.00E00
ureteric bud elongation (GO:0060677)	5	1	.04	+	27.46	4.26E-02	1.00E00
mesodermal cell migration (GO:0008078)	5	1	.04	+	27.46	4.26E-02	1.00E00
negative regulation of striated muscle tissue development (GO:0045843)	10	2	.07	+	27.46	3.27E-03	1.00E00
somatic recombination of T cell receptor gene segments (GO:0002681)	5	1	.04	+	27.46	4.26E-02	1.00E00
negative regulation of muscle tissue development (GO:1901862)	11	2	.08	+	24.96	3.84E-03	1.00E00
GTP biosynthetic process (GO:0006183)	11	2	.08	+	24.96	3.84E-03	1.00E00
negative regulation of muscle organ development (GO:0048635)	11	2	.08	+	24.96	3.84E-03	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	17	3	.12	+	24.23	3.86E-04	1.00E00
melanosome assembly (GO:1903232)	6	1	.04	+	22.88	4.95E-02	1.00E00
bronchiole development (GO:0060435)	6	1	.04	+	22.88	4.95E-02	1.00E00
negative regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901895)	6	1	.04	+	22.88	4.95E-02	1.00E00
positive regulation of interleukin-18 production (GO:0032741)	6	1	.04	+	22.88	4.95E-02	1.00E00
cellular response to water stimulus (GO:0071462)	6	1	.04	+	22.88	4.95E-02	1.00E00
regulation of ovarian follicle development (GO:2000354)	6	1	.04	+	22.88	4.95E-02	1.00E00
regulation of sodium:proton antiporter activity (GO:0032415)	6	1	.04	+	22.88	4.95E-02	1.00E00
peptidyl-cysteine S-nitrosylation (GO:0018119)	6	1	.04	+	22.88	4.95E-02	1.00E00
isocitrate metabolic process (GO:0006102)	6	1	.04	+	22.88	4.95E-02	1.00E00
regulation of synaptic transmission, cholinergic (GO:0032222)	6	1	.04	+	22.88	4.95E-02	1.00E00
positive regulation of exit from mitosis (GO:0031536)	6	1	.04	+	22.88	4.95E-02	1.00E00
positive regulation of skeletal muscle tissue regeneration (GO:0043415)	6	1	.04	+	22.88	4.95E-02	1.00E00
glucocorticoid receptor signaling pathway (GO:0042921)	6	1	.04	+	22.88	4.95E-02	1.00E00
methylglyoxal metabolic process (GO:0009438)	6	1	.04	+	22.88	4.95E-02	1.00E00
protein nitrosylation (GO:0017014)	6	1	.04	+	22.88	4.95E-02	1.00E00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	6	1	.04	+	22.88	4.95E-02	1.00E00
free ubiquitin chain polymerization (GO:0010994)	6	1	.04	+	22.88	4.95E-02	1.00E00
negative regulation of PERK-mediated unfolded protein response (GO:1903898)	6	1	.04	+	22.88	4.95E-02	1.00E00
viral budding from plasma membrane (GO:0046761)	6	1	.04	+	22.88	4.95E-02	1.00E00
negative regulation of macrophage chemotaxis (GO:0010760)	6	1	.04	+	22.88	4.95E-02	1.00E00
regulation of centriole elongation (GO:1903722)	6	1	.04	+	22.88	4.95E-02	1.00E00
glycosylceramide catabolic process (GO:0046477)	6	1	.04	+	22.88	4.95E-02	1.00E00
positive regulation of circadian sleep/wake cycle, sleep (GO:0045938)	6	1	.04	+	22.88	4.95E-02	1.00E00
exit from mitosis (GO:0010458)	13	2	.09	+	21.12	5.13E-03	1.00E00
forebrain dorsal/ventral pattern formation (GO:0021798)	7	1	.05	+	19.61	5.64E-02	1.00E00
lung-associated mesenchyme development (GO:0060484)	7	1	.05	+	19.61	5.64E-02	1.00E00
rhombomere development (GO:0021546)	7	1	.05	+	19.61	5.64E-02	1.00E00
ureter morphogenesis (GO:0072197)	7	1	.05	+	19.61	5.64E-02	1.00E00
convergent extension involved in gastrulation (GO:0060027)	7	1	.05	+	19.61	5.64E-02	1.00E00
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	21	3	.15	+	19.61	6.71E-04	1.00E00
dolichyl diphosphate biosynthetic process (GO:0006489)	7	1	.05	+	19.61	5.64E-02	1.00E00
cellular response to UV-C (GO:0071494)	7	1	.05	+	19.61	5.64E-02	1.00E00
negative regulation of molecular function in other organism involved in symbiotic interaction (GO:0052204)	7	1	.05	+	19.61	5.64E-02	1.00E00
